trailingPE,averageVolume,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,netIncomeToCommon,trailingEps,enterpriseToRevenue,totalCash,totalCashPerShare,totalDebt,totalRevenue,debtToEquity,earningsGrowth,revenueGrowth,ebitdaMargins,operatingMargins,currentPrice
70.95048,432102,209898176512,634.05,953,2.4337404,249334448128,0.032449998,236292000,0.47248,0.37195998,290.363,3.059274,2799099904,12.52,2.891,1377100032,5.828,45161701376,86245097472,65.756,-0.348,0.263,0.14083,0.079780005,888.3
43.594105,398039,43601145856,152.75,232.95,1.9431399,39443906560,0.044510003,226612992,0.69389,0.13305001,64.356,2.9872894,998800000,4.41,1.758,4919600128,21.721,1816700032,22438500352,12.431,0.013,0.01,0.11092,0.06033,192.25
101.770836,640954,21682317312,30.15,56.9,0.49846128,23945424896,0.01474,443855008,0.78439003,0.052199997,24.803,1.9695199,641299968,0.48,0.55,960600000,2.181,3035200000,43498500096,27.617,-0.585,0.045,0.046529997,0.03041,48.85
128.25365,164931,150595190784,631.6,993,6.4482803,162256273408,0.050029997,155936000,0.62631,0.2767,36.329,26.583447,1168331008,7.53,6.948,284072992,1.823,12030030848,23354318848,212.575,0.225,0.142,0.17451,0.10192,965.75
10.414947,546331,156569075712,214.9,310.75,0.93818814,175639461888,0.09009,564211008,0.50267,0.32467,167.45,1.6563153,15034090496,26.63,1.052,13726334976,24.336,1493858048,166884524032,1.177,-0.292,-0.258,0.20645,0.16815001,277.35
62.57263,274298,100144414720,1762.5,3091.95,1.4719856,105088974848,0.023629999,33693700,0.53144,0.28206,566.507,5.2465367,1607965952,47.5,1.545,7505138176,222.746,14551130112,68033556480,74.468,0.086,-0.068,0.06449,0.04838,2972.2
21.668955,6375909,88662122496,62.4,166.5,2.6596398,75485077504,0.1261,562041984,0.51346,0.21653,34.862,4.5249844,4203791872,7.28,2.264,12417778688,22.078,188808000,33336137728,0.963,1.148,0.004,0.09984,0.091350004,157.75
43.86393,1037765,33090023424,138,348.75,2.7336216,37302497280,0.06255,96723696,0.74828005,0.04665,58.592,5.8318543,757100032,7.79,3.082,136710000,1.413,5094810112,12104829952,89.9,0.376,-0.202,0.08509,0.083579995,341.7
55.646725,1698163,550680002560,557.1,774.9,14.9208765,519567802368,0.26894,800000000,0.62397,0.13146,30.98,22.219173,9925742592,12.37,14.078,19313805312,24.142,841622016,36906680320,3.396,-0.055,0.175,0.34495,0.33719003,688.35
27.585035,3433370,48517914624,94.4,126.75,2.062058,45951070208,0.07503,398832000,0.53107,0.19156,19.664,6.1864324,1765326976,4.41,1.953,515728000,1.293,301992992,23528880128,3.851,0.213,0.05,0.11508001,0.0991,121.65
12.173473,1478458,115335266304,77.45,384.5,0.61350006,146369232896,0.04738,319753984,0.6423,0.07643,249.4,1.4462712,8906959872,29.63,0.779,2063213952,6.495,49219338240,187995521024,67.625,54.2,0.268,0.102819994,0.079450004,360.7
11.244656,2987989,257536786432,630.45,1123.3,3.6185637,572753510400,0.32624,238688000,0.46315,0.36915,1301.374,0.82854736,23218900992,95.89,8.048,182548692992,764.878,503822286848,71170998272,162.214,0.022,0.239,0,-0.34594002,1078.25
24.488298,2946157,715661836288,386.1,713.7,1.36958,769050869760,0.05488,1020089984,0.65597,0.21402,379.444,1.8477035,28678899712,28.63,1.472,51668901888,50.651,130463096832,522541105152,33.436,-0.149,-0.035,0.16481,0.12055001,701.1
60.63441,357423,26419167232,340.15,733,7.1981125,17412161536,0.12104999,46850800,0.03207,0.6793,435.875,1.2937195,444308992,9.3,4.744,10053523456,214.24,864280000,3670290944,4.072,4,0.04,0.10666,0.015520001,563.9
76.18655,1209065,329164685312,545.5,1219.3,8.687558,315001831424,0.11337,274144000,0.46229,0.25569,61.09,19.654608,4295680000,15.76,8.314,5880840192,21.753,2865260032,37889208320,17.226,0.569,0.596,0.19186,0.15145999,1200.7
11.816302,622159,28184885248,239,467.8,3.9179363,13220019200,0.33122003,70400000,0.66274,0.0039399997,111.708,3.5816593,2382720000,33.86,1.838,16008310784,227.432,1450019968,7193808896,18.436,-0.067,-0.009,0.49398997,0.46306,400.1
1277.037,287326,123147386880,288,475,1.1467081,166464208896,0.00092,357156000,0.71788,0.22285,247.483,1.393227,98500000,0.27,1.55,1927399936,5.397,47851401216,107392098304,54.137,-0.298,0.058,0.104399994,0.025829999,344.8
37.33884,24052,559989129216,15300,19990,3.647995,522498801664,0.09776,29493600,0.70674,0.16961001,3731.347,5.0884576,15006999552,508.5,3.404,27395000320,928.844,532000000,153506004992,0.483,0.225,0.173,0.12163,0.0967,18986.8
218.6614,468116,99432144896,548.25,978,2.050901,102835208192,0.01038,119352000,0.71239996,0.29804,125.658,6.6299,503480000,3.81,2.121,2961339904,24.822,8999239680,48482181120,60.377,0.185,0.292,0.029070001,0.01825,833.1
37.296417,1068894,418584985600,555,828.75,5.1690116,395145805824,0.13859999,609294016,0.54799,0.29489002,184.246,3.7287104,11223499776,18.42,4.88,32238999552,52.912,7781400064,80979697664,6.869,-0.173,-0.036,0.22233,0.14877,687
44.65479,106800,111325618176,652.35,1049.9,4.069365,106328023040,0.09097999,138614000,0.6834,0.19181,139.845,5.734921,2488999936,17.96,3.887,2814400000,20.304,1308999936,27356999680,6.741,-0.101,-0.066,0.1183,0.10356,802
